user_id,tenure_days,sessions_last_30d,payment_failures,support_tickets,feature_usage_score,churned
c50761d9-3bff-474b-bd8b-dc1dc5cafa76,84,11,0,0,5.98,0
368f01a7-eeb4-40e5-bbc7-3bb51e4b8e91,541,16,1,1,5.02,0
2f6084d6-9848-4398-90ad-e9e5a4a9b451,237,17,0,0,3.19,0
0d82c565-9acc-4d44-8adf-804d040fa08f,164,8,1,3,4.41,0
29217dab-110f-4f48-9989-123d4abbbccb,30,8,1,2,7.01,0
e2b77466-89b7-4e57-907e-1a87023e74d9,30,12,1,0,7.39,0
9376d825-6e4b-44d2-82e4-f3a285e831d6,10,8,1,1,5.13,0
a8c61447-ef3d-4dcc-89f5-20e3d7e8bed9,362,13,0,0,6.3,0
ac0a7a2a-7fa6-4411-a95f-d3d586239824,165,14,2,1,6.25,0
bb3910d8-a403-4711-9d6d-5b5a998634d2,221,18,0,0,0.58,0
fc89ab75-c066-4d9d-bac4-a7a534e80459,3,9,1,1,4.26,0
c6e81ec9-da1e-4dfd-8198-ed3f8827c5fe,630,14,0,2,5.69,0
73eec9af-49f1-4836-98ce-0b593980fc2f,321,10,2,0,6.05,0
8c4120fe-c1d2-43db-9067-d692f9056303,42,13,1,0,4.92,0
1c33135d-b03e-4a13-bbd1-9b62e2ac0ce0,36,8,1,0,6.58,0
6569dd05-6f39-4511-96af-660e998b7987,36,15,1,1,4.2,0
3d789093-1d3d-4956-a8bd-235a5d7738b5,65,8,0,2,4.61,0
9b8aafdf-84b4-4484-8b3d-a1a5c8f9bdcb,133,13,0,1,9.03,0
f0993d93-fc95-4a16-8331-857fc9e60914,101,12,0,0,6.27,0
9dc67395-fbe7-405d-a49e-d48aed2adaa8,61,10,2,2,3.19,0
98950596-bdb1-417d-a74d-48b452299066,170,8,1,1,0.9,0
3ac6eecd-c447-44c6-aec0-b77188a7f979,27,11,2,0,5.38,0
662f8f01-3165-4b3c-a05c-bf6a896afaa1,62,11,0,0,4.3,0
0784a22f-61d1-4e3b-a023-61f72bda256e,82,13,1,0,8.18,0
4fd781d2-2abf-4e9b-a77d-f0e366b61cd1,109,18,0,0,5.86,0
9355d1d5-0503-44b6-9a87-e4fb62605b57,276,12,2,1,4.19,0
36a8fc58-d9bb-446f-91a9-2786cb5250bf,40,15,1,2,6.11,0
266bdbf0-1dfc-49ac-a228-fd5808634baf,129,12,1,1,3.98,0
a1ac5352-982a-4c09-aea9-8f1fdc423cdc,161,18,1,1,4.84,0
faf01007-385c-4acd-96b3-2f964ce35211,8,12,0,0,6.73,0
a60f63c6-9bb8-4e2d-bb62-39b1ff2afaf6,168,12,1,4,6.25,0
7d3dce4e-3456-481d-a1c8-f468083df89f,33,13,1,0,4.87,0
9a5675d9-1fa0-4a83-bcdd-df0418b23b5b,12,12,0,0,2.78,0
d66fc0cc-620c-4b86-b507-6d45b6ecc0dd,535,6,1,0,3.92,0
df38be9a-d0cd-4a1a-9b0b-b3bfbe15144c,606,16,2,0,4.02,0
988c6838-2fd4-41ef-8473-4f0b3cfc63dd,297,8,0,1,2.51,0
d4513bdf-dd53-4e33-a5e9-fd20971ce689,65,15,1,2,4.71,0
b0bc28bc-f152-47ab-9659-68ca3ed419c6,18,13,0,1,2.63,0
7b68b4dd-8a9e-4ebb-8e97-f12fe4c43da7,207,3,0,1,1.97,0
6e300a20-6879-4999-a7c3-ae6c857f4d00,104,16,0,0,5.11,0
c411450a-3fd7-434e-af62-7490587c2bae,23,16,0,1,2.88,0
f69eda4a-d099-4950-87da-183a2eecea22,123,11,3,2,7.08,0
5ad4e078-dd14-4ac6-876d-666428e87571,6,11,1,0,5.1,0
14458019-d505-4c13-a185-0973d42ce2b0,432,13,1,2,5.75,0
9198e66a-7adb-4624-8795-1cff44dba76b,53,10,4,0,5.44,0
e41240ec-4124-4b30-bf7a-a2d6b7231ee7,195,11,0,0,6.96,0
1d1de12a-397d-435c-9f0e-572e5b155550,67,13,1,0,3.45,0
9d3c32f1-e1e3-435e-bb7c-280a68d712d4,132,10,0,0,7.8,0
19c1bf0c-70e8-4c90-bda7-974c255f777f,142,11,0,0,2.99,0
3b4d3b77-e311-4dd1-b3d9-7f0dc9ccd4c3,36,15,1,1,7.23,0
f88b5e67-60dc-4e9d-82b4-a452b3a13f22,628,5,0,0,1.55,0
d9a7c900-b83c-4d60-829f-210c2c4ed2e9,268,18,2,0,4.48,0
8c44f8a1-ae27-45d5-b180-813fa89b4b36,504,12,0,1,6.77,0
d0cb4125-102b-4282-9896-e872dc4711f9,405,10,0,2,6.45,0
80a1f2eb-eab9-41da-8da7-f5a454f199e7,163,13,0,0,4.77,0
649c8bc9-1242-4792-bcb1-783cdcda70b9,458,7,0,1,4.9,0
77d9684f-8d92-453b-a2b8-b83ba4aeb271,16,21,0,2,8.18,0
98f42dda-0138-4f82-8b91-cc7388269f65,39,13,1,0,1.47,0
f9451899-d1c8-4661-9e8c-6211f8578e06,8,13,0,1,7.23,0
a97c831a-d381-4e64-809b-c870947adc4c,70,13,0,0,8.23,0
282b8897-5f15-42be-a34b-3ba15662bdbf,88,11,0,1,3.96,0
a9f2a010-9b51-4d01-b787-f081888a2ecf,56,13,0,0,7.51,0
903f7e02-bea6-4b75-a74d-ce9f662c447c,317,10,0,0,7.82,0
84bd8cb4-7b9a-434d-a6ce-f3b02977dd0a,79,14,1,0,8.21,0
a26be78c-0b2c-4725-98be-254687902dbb,59,8,0,0,4.85,0
667e38a2-f44f-4a2c-8e1e-3d97eb37de1f,140,12,0,0,1.79,0
dad09ee6-af46-44ef-862d-48c539b2107c,27,13,0,0,5.97,0
8acf420c-6175-46df-b4ec-3bf8dae94e4c,291,10,0,0,5.6,0
f962dfd2-5139-4415-a51e-be3fe62a08ea,13,9,0,0,3.43,0
2fb9707d-fe23-46e1-90a4-d3c1674427a3,780,9,0,1,7.29,0
9f0cf222-d25c-43f4-a823-42054ca16f35,266,11,1,0,8.77,0
fe426164-09db-42c1-9f3b-80fa275ab1fe,39,11,0,0,7.46,0
7b9087c3-d614-4feb-9017-bcd59567e55e,1,17,0,1,3.77,0
2bf0ae57-984f-49ee-a565-1cc23e2f25da,304,12,0,0,6.77,0
a866535a-f37d-4e50-89c7-0ed0112ee12f,220,11,0,0,8.1,0
2a6bccbd-2dce-41ed-bdf4-1ed9f8f695c8,235,14,0,2,5.15,0
bfe93576-6055-496c-99b4-fd988c5c7c53,265,19,0,0,3.71,0
80fc3c06-44de-4c21-b3b2-50235293b3b6,13,10,0,0,2.65,0
6f793053-cdec-4d4e-9267-69576ba7df61,79,9,0,0,7.33,0
0669acf6-f608-410d-b164-43d6547b60d3,22,15,0,1,6.53,0
dc424ff5-9e0b-4bfd-940a-0bec8b6f2154,357,11,0,1,1.75,0
36225f14-c395-4f23-bed0-3c318af69280,175,13,2,1,6.1,0
79076abf-3668-4ee7-8fc5-5ec38f2721d5,72,15,3,0,5.08,0
f6e84e58-4063-46b7-85f8-84d9e33edbbb,11,17,0,1,2.79,0
c96d6f37-903f-411f-adec-0186db7a79f1,67,19,0,2,3.78,0
8542710d-3113-402a-be7b-17466ecf22eb,70,10,2,1,6.84,0
11b3ad76-567f-417c-a7ac-3d031f625703,235,11,1,0,0.72,0
9702783a-6626-4390-a386-6be26a6bf2fc,182,11,0,1,6.65,0
ec351ce5-920e-4004-9055-412f840e06d4,392,9,0,0,3.19,0
1dea171f-094d-4354-9ceb-2e57e7afca9f,115,10,0,2,9.57,0
